# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-10-21 07:25:40 522221225 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
    80     0.080000  0.010953236  0.000136533  0.946541998  0.322580602  0.000000000000000000 -31.694314724  31.694314724  31.694314724  0.000000999733327    96.022842 31.694314724110441 
    81     0.081000  0.011089769  0.000136500  0.946514490  0.322661309  0.000000000000056843 -31.695235851  31.695235851  31.695235851  0.000000999389817    95.902770 31.695235850875612 
    82     0.082000  0.011226268  0.000136521  0.946486968  0.322742033  0.000000000000000000 -31.696157499  31.696157499  31.696157499  0.000000999840141    95.782851 31.696157499393653 
    83     0.083000  0.011362789  0.000136487  0.946459420  0.322822808  0.000000000000000000 -31.697080036  31.697080036  31.697080036  0.000000999485037    95.663037 31.697080036347149 
    84     0.084000  0.011499276  0.000136507  0.946431859  0.322903601  0.000000000000000000 -31.698003091  31.698003091  31.698003091  0.000000999929834    95.543377 31.698003090792884 
    85     0.085000  0.011635783  0.000136473  0.946404273  0.322984445  0.000000000000000000 -31.698927033  31.698927033  31.698927033  0.000000999563127    95.423822 31.698927032731799 
    86     0.086000  0.011772256  0.000136438  0.946376673  0.323065306  0.000000000000000000 -31.699851488  31.699851488  31.699851488  0.000000999188513    95.304420 31.699851487873161 
    87     0.087000  0.011908693  0.000136458  0.946349060  0.323146184  0.000000000000000000 -31.700776453  31.700776453  31.700776453  0.000000999623551    95.185173 31.700776452776125 
    88     0.088000  0.012045151  0.000136422  0.946321422  0.323227113  0.000000000000000000 -31.701702303  31.701702303  31.701702303  0.000000999237329    95.066030 31.701702302814585 
    89     0.089000  0.012181573  0.000136441  0.946293770  0.323308058  0.000000000000000000 -31.702628658  31.702628658  31.702628658  0.000000999666790    94.947043 31.702628658276804 
    90     0.090000  0.012318014  0.000136405  0.946266094  0.323389053  0.000000000000056843 -31.703555898  31.703555898  31.703555898  0.000000999268953    94.828161 31.703555897869965 
    91     0.091000  0.012454419  0.000136424  0.946238404  0.323470065 -0.000000000000056843 -31.704483639  31.704483639  31.704483639  0.000000999692817    94.709434 31.704483638519847 
    92     0.092000  0.012590842  0.000136386  0.946210690  0.323551126  0.000000000000000000 -31.705412262  31.705412262  31.705412262  0.000000999283359    94.590813 31.705412262273082 
    93     0.093000  0.012727229  0.000136405  0.946182962  0.323632203  0.000000000000000000 -31.706341383  31.706341383  31.706341383  0.000000999701609    94.472347 31.706341382686929 
    94     0.094000  0.012863634  0.000136367  0.946155209  0.323713329  0.000000000000000000 -31.707271385  31.707271385  31.707271385  0.000000999280526    94.353987 31.707271385153337 
    95     0.095000  0.013000000  0.000136385  0.946127444  0.323794471  0.000000000000000000 -31.708201880  31.708201880  31.708201880  0.000000999693142    94.235783 31.708201879855022 
    96     0.096000  0.013136386  0.000136346  0.946099654  0.323875663 -0.000000000000056843 -31.709133256  31.709133256  31.709133256  0.000000999260431    94.117685 31.709133255535299 
    97     0.097000  0.013272732  0.000136364  0.946071851  0.323956869  0.000000000000000000 -31.710065119  31.710065119  31.710065119  0.000000999667394    93.999743 31.710065118996354 
    98     0.098000  0.013409096  0.000136324  0.946044023  0.324038124  0.000000000000000000 -31.710997862  31.710997862  31.710997862  0.000000999223050    93.881908 31.710997862338743 
    99     0.099000  0.013545420  0.000136342  0.946016183  0.324119394  0.000000000000000000 -31.711931089  31.711931089  31.711931089  0.000000999624343    93.764229 31.711931088978119 
   100     0.100000  0.013681762  0.000136301  0.945988318  0.324200713  0.000000000000000000 -31.712865194  31.712865194  31.712865194  0.000000999168364    93.646657 31.712865194378203 
   101     0.101000  0.013818063  0.000136318  0.945960440  0.324282046  0.000000000000000000 -31.713799779  31.713799779  31.713799779  0.000000999563968    93.529242 31.713799778562294 
   102     0.102000  0.013954381  0.000136336  0.945932538  0.324363428  0.000000000000000000 -31.714735240  31.714735240  31.714735240  0.000000999958161    93.411934 31.714735240362987 
   103     0.103000  0.014090717  0.000136294  0.945904611  0.324444859  0.000000000000000000 -31.715671580  31.715671580  31.715671580  0.000000999486791    93.294732 31.715671580131733 
   104     0.104000  0.014227011  0.000136311  0.945876672  0.324526302  0.000000000000056843 -31.716608393  31.716608393  31.716608393  0.000000999875270    93.177688 31.716608393175942 
   105     0.105000  0.014363321  0.000136268  0.945848709  0.324607795  0.000000000000000000 -31.717546083  31.717546083  31.717546083  0.000000999392256    93.060751 31.717546083013790 
   106     0.106000  0.014499589  0.000136284  0.945820733  0.324689301  0.000000000000000000 -31.718484242  31.718484242  31.718484242  0.000000999775003    92.943972 31.718484241545195 
   107     0.107000  0.014635874  0.000136241  0.945792732  0.324770855  0.000000000000000000 -31.719423276  31.719423276  31.719423276  0.000000999280343    92.827299 31.719423275672227 
   108     0.108000  0.014772115  0.000136257  0.945764719  0.324852421 -0.000000000000056843 -31.720362774  31.720362774  31.720362774  0.000000999657343    92.710786 31.720362773881593 
   109     0.109000  0.014908372  0.000136213  0.945736682  0.324934036  0.000000000000000000 -31.721303146  31.721303146  31.721303146  0.000000999151038    92.594379 31.721303146464816 
   110     0.110000  0.015044585  0.000136228  0.945708633  0.325015662  0.000000000000000000 -31.722243978  31.722243978  31.722243978  0.000000999522273    92.478131 31.722243978489896 
   111     0.111000  0.015180813  0.000136244  0.945680560  0.325097337 -0.000000000000056843 -31.723185684  31.723185684  31.723185684  0.000000999892061    92.361991 31.723185683643141 
   112     0.112000  0.015317057  0.000136199  0.945652462  0.325179060  0.000000000000000000 -31.724128262  31.724128262  31.724128262  0.000000999370333    92.245958 31.724128262243610 
   113     0.113000  0.015453256  0.000136214  0.945624352  0.325260794  0.000000000000000000 -31.725071295  31.725071295  31.725071295  0.000000999734332    92.130084 31.725071294601662 
   114     0.114000  0.015589469  0.000136168  0.945596218  0.325342576  0.000000000000000000 -31.726015199  31.726015199  31.726015199  0.000000999200956    92.014318 31.726015199130451 
   115     0.115000  0.015725637  0.000136182  0.945568073  0.325424369  0.000000000000000000 -31.726959553  31.726959553  31.726959553  0.000000999559150    91.898712 31.726959552707243 
